zodiac_sign,date_range,element,recommended_plants,why_suitable,source_urls
Aries,Mar 21 – Apr 19,Fire,Bird of Paradise | Honeysuckle | Zebra Plant,"Bold, statement bloomers or resilient houseplants suit Aries’ energetic, leadership vibe.",https://www.homesandgardens.com/gardens/zodiac-houseplants | https://www.homesandgardens.com/gardens/whats-your-zodiac-flower | https://www.housebeautiful.com/shopping/g46009369/zodiac-plants-guide/
Taurus,Apr 20 – May 20,Earth,Fiddle Leaf Fig | Poppy | Aloe Vera,"Grounded, sensual Taurus pairs with lush, tactile foliage and sturdy classics.",https://www.homesandgardens.com/gardens/zodiac-houseplants | https://www.homesandgardens.com/gardens/whats-your-zodiac-flower | https://www.swansonsnursery.com/blog/the-perfect-houseplant-for-your-astrological-sign
Gemini,May 21 – Jun 20,Air,Snake Plant | Lavender | Air Plant,"Adaptable, chatty Gemini fits easy-care plants and fragrant, stimulating herbs.",https://www.homesandgardens.com/gardens/zodiac-houseplants | https://www.homesandgardens.com/gardens/whats-your-zodiac-flower | https://www.housebeautiful.com/shopping/g46009369/zodiac-plants-guide/
Cancer,Jun 21 – Jul 22,Water,Prayer Plant | White Rose | Lucky Bamboo,"Soothing, home-loving Cancer matches calming, water-associated or tender plants.",https://www.homesandgardens.com/gardens/zodiac-houseplants | https://www.homesandgardens.com/gardens/whats-your-zodiac-flower | https://www.bhg.com/gardening/gardening-trends/houseplant-zodiac-pairings/
Leo,Jul 23 – Aug 22,Fire,Cowboy Cactus | Sunflower | Fiddle Leaf Fig,"Showy, sun-ruled Leo thrives with dramatic, spotlight-loving plants.",https://www.homesandgardens.com/gardens/zodiac-houseplants | https://www.homesandgardens.com/gardens/whats-your-zodiac-flower | https://www.housebeautiful.com/shopping/g46009369/zodiac-plants-guide/
Virgo,Aug 23 – Sep 22,Earth,Kentia Palm | Buttercup | ZZ Plant,"Practical, detail-oriented Virgo pairs with tidy, reliable, purifying plants.",https://www.homesandgardens.com/gardens/zodiac-houseplants | https://www.homesandgardens.com/gardens/whats-your-zodiac-flower | https://www.housebeautiful.com/shopping/g46009369/zodiac-plants-guide/
Libra,Sep 23 – Oct 22,Air,Peace Lily | Rose | String of Pearls,Balance-seeking Libra aligns with graceful forms and harmonious textures.,https://www.homesandgardens.com/gardens/zodiac-houseplants | https://www.homesandgardens.com/gardens/whats-your-zodiac-flower | https://www.bhg.com/gardening/gardening-trends/houseplant-zodiac-pairings/
Scorpio,Oct 23 – Nov 21,Water,ZZ Plant | Geranium (Pelargonium) | Snake Plant,"Intense, private Scorpio pairs with resilient, transformative plants.",https://www.homesandgardens.com/gardens/zodiac-houseplants | https://www.homesandgardens.com/gardens/whats-your-zodiac-flower | https://www.bhg.com/gardening/gardening-trends/houseplant-zodiac-pairings/
Sagittarius,Nov 22 – Dec 21,Fire,Monstera | Carnation | Baseball Plant (Euphorbia),Adventurous Sagittarius enjoys expansive growers and travel-tolerant plants.,https://www.homesandgardens.com/gardens/zodiac-houseplants | https://www.homesandgardens.com/gardens/whats-your-zodiac-flower | https://www.bhg.com/gardening/gardening-trends/houseplant-zodiac-pairings/
Capricorn,Dec 22 – Jan 19,Earth,Money Tree | Pansy | Jade Plant,Ambitious Capricorn suits slow-growing symbols of prosperity and endurance.,https://www.homesandgardens.com/gardens/zodiac-houseplants | https://www.homesandgardens.com/gardens/whats-your-zodiac-flower | https://www.bhg.com/gardening/gardening-trends/houseplant-zodiac-pairings/
Aquarius,Jan 20 – Feb 18,Air,Boston Fern | Starflower (Borage) | ZZ Plant,"Innovative Aquarius pairs with airy fronds and future-proof, forgiving greenery.",https://www.homesandgardens.com/gardens/zodiac-houseplants | https://www.veranda.com/outdoor-garden/g1537/best-flowers-to-plant-for-your-astrological-sign/ | https://www.bhg.com/gardening/gardening-trends/houseplant-zodiac-pairings/
Pisces,Feb 19 – Mar 20,Water,String of Hearts | Water Lily | Jasmine,"Dreamy Pisces aligns with trailing, romantic or water-linked plants and soothing fragrance.",https://www.homesandgardens.com/gardens/zodiac-houseplants | https://www.homesandgardens.com/gardens/whats-your-zodiac-flower | https://www.bhg.com/gardening/gardening-trends/houseplant-zodiac-pairings/
